,ID,Timestamp,Message Length,Punctuation Count,Has Attachments
343,848787840502202369,2021-05-31 04:59:50.891000+00:00,1,0,0
344,848787702647881779,2021-05-31 04:59:18.024000+00:00,2,0,0
345,848787589027987456,2021-05-31 04:58:50.935000+00:00,1,0,0
346,848787545324126249,2021-05-31 04:58:40.515000+00:00,1,0,0
347,848787410987778070,2021-05-31 04:58:08.487000+00:00,1,0,0
348,848787355162116097,2021-05-31 04:57:55.177000+00:00,2,0,0
349,848787259193032775,2021-05-31 04:57:32.296000+00:00,2,0,0
350,848787181056688131,2021-05-31 04:57:13.667000+00:00,1,0,0
351,848787074731343903,2021-05-31 04:56:48.317000+00:00,1,0,0
352,848786977112195092,2021-05-31 04:56:25.043000+00:00,1,0,0
353,848786889652568064,2021-05-31 04:56:04.191000+00:00,2,0,0
354,848786796879937547,2021-05-31 04:55:42.072000+00:00,1,0,0
355,848786520793022484,2021-05-31 04:54:36.248000+00:00,1,0,0
356,848786485603860490,2021-05-31 04:54:27.858000+00:00,1,0,0
357,848786308577886208,2021-05-31 04:53:45.652000+00:00,2,0,0
358,848786194380226560,2021-05-31 04:53:18.425000+00:00,2,0,0
359,848729353990307940,2021-05-31 01:07:26.620000+00:00,13,0,0
360,848469560462016522,2021-05-30 07:55:07.016000+00:00,68,3,0
361,848468378741899264,2021-05-30 07:50:25.272000+00:00,64,3,0
362,848464910483456031,2021-05-30 07:36:38.375000+00:00,71,3,0
363,848455393164394526,2021-05-30 06:58:49.269000+00:00,3,0,1
364,847977348002742282,2021-05-28 23:19:14.421000+00:00,15,0,0
365,847977259755110420,2021-05-28 23:18:53.381000+00:00,3,0,1
366,847719947824005140,2021-05-28 06:16:25.436000+00:00,6,0,0
367,847635564555403295,2021-05-28 00:41:06.897000+00:00,23,1,0
368,847230968979783680,2021-05-26 21:53:23.795000+00:00,4,0,0
369,847230960130195506,2021-05-26 21:53:21.685000+00:00,4,0,0
370,847207783773896814,2021-05-26 20:21:16.011000+00:00,17,1,0
371,847207763092570123,2021-05-26 20:21:11.080000+00:00,7,0,0
372,846939374914633729,2021-05-26 02:34:42.352000+00:00,13,0,0
373,846939356602171422,2021-05-26 02:34:37.986000+00:00,3,0,0
374,846939195905409024,2021-05-26 02:33:59.673000+00:00,48,0,0
375,846938082669363211,2021-05-26 02:29:34.257000+00:00,6,0,0
376,846934133698986014,2021-05-26 02:13:52.749000+00:00,6,0,0
377,846920746617798656,2021-05-26 01:20:41.020000+00:00,3,0,1
378,845907942972719114,2021-05-23 06:16:09.814000+00:00,5,0,0
379,845898916318937108,2021-05-23 05:40:17.692000+00:00,4,0,0
380,845520547151872011,2021-05-22 04:36:47.453000+00:00,26,0,0
381,845408190283251742,2021-05-21 21:10:19.488000+00:00,3,0,0
382,845206531837919233,2021-05-21 07:49:00.368000+00:00,96,3,0
383,845117652900642846,2021-05-21 01:55:49.978000+00:00,6,0,0
384,845091171952885790,2021-05-21 00:10:36.428000+00:00,3,0,1
385,845055305553281045,2021-05-20 21:48:05.212000+00:00,14,0,0
386,844989473229766676,2021-05-20 17:26:29.563000+00:00,5,0,0
387,844989318786711562,2021-05-20 17:25:52.741000+00:00,7,1,0
388,844989303381164052,2021-05-20 17:25:49.068000+00:00,22,1,0
389,844964882264096838,2021-05-20 15:48:46.620000+00:00,18,0,0
390,844761662317920297,2021-05-20 02:21:15.209000+00:00,6,0,0
391,844761655246323712,2021-05-20 02:21:13.523000+00:00,5,0,0
392,844276437879357501,2021-05-18 18:13:08.688000+00:00,3,0,1
393,844248175972057178,2021-05-18 16:20:50.524000+00:00,40,0,0
